time, AccX, AccY, AccZ, EulerX, EulerY, EulerZ
09:39:34:505,0.180,0.000,-0.060,-92.690,-84.120,-13.110
09:39:34:538,0.180,0.000,-0.060,-92.690,-84.120,-13.110
09:39:34:572,0.120,0.000,-0.080,-93.680,-85.610,-9.290
09:39:34:605,0.120,0.000,-0.080,-93.680,-85.610,-9.290
09:39:34:638,0.110,0.020,-0.080,-95.230,-87.080,-6.470
09:39:34:672,0.140,0.040,-0.050,-94.820,-86.050,-6.060
09:39:34:705,0.140,0.040,-0.030,-92.710,-85.680,-8.260
09:39:34:738,0.140,0.040,-0.030,-92.710,-85.680,-8.260
09:39:34:772,0.140,0.040,-0.030,-92.710,-85.680,-8.260
09:39:34:804,0.140,0.000,0.020,-91.050,-85.660,-8.470
09:39:34:838,0.160,-0.010,0.020,-88.100,-86.150,-7.220
09:39:34:872,0.160,-0.010,0.020,-88.100,-86.150,-7.220
09:39:34:905,0.170,0.010,0.050,-88.520,-85.480,-9.140
09:39:34:938,0.170,0.000,0.080,-86.610,-86.140,-9.380
09:39:34:971,0.160,0.020,0.100,-85.000,-87.210,-9.130
09:39:35:005,0.160,0.020,0.100,-85.000,-87.210,-9.130
09:39:35:038,0.150,0.020,0.100,-84.120,-87.040,-8.520
09:39:35:072,-0.060,-0.410,-0.080,-84.060,-87.830,-8.700
09:39:35:104,-0.010,0.060,-0.010,-88.690,-89.730,-5.620
09:39:35:138,-0.010,0.060,-0.010,-88.690,-89.730,-5.620
09:39:35:171,-0.010,0.060,-0.010,-88.690,-89.730,-5.620
09:39:35:205,0.130,-0.140,0.000,-91.110,-90.430,0.590
09:39:35:238,0.000,0.000,-0.120,-91.060,-88.260,-6.620
09:39:35:271,0.000,0.000,-0.080,-98.740,-86.950,1.650
09:39:35:305,0.000,0.000,-0.080,-98.740,-86.950,1.650
09:39:35:338,0.000,0.000,-0.080,-98.740,-86.950,1.650
09:39:35:371,0.000,0.010,-0.080,-93.780,-90.190,-0.280
09:39:35:405,-0.010,0.020,-0.120,-95.480,-88.080,0.110
09:39:35:438,-0.010,0.020,-0.120,-95.480,-88.080,0.110
09:39:35:471,-0.010,0.000,-0.140,-97.930,-87.980,0.310
09:39:35:504,0.020,-0.010,-0.160,-98.310,-88.330,0.270
09:39:35:538,0.030,-0.010,-0.180,-99.670,-88.680,-1.910
09:39:35:571,0.030,-0.010,-0.180,-99.670,-88.680,-1.910
09:39:35:604,0.000,0.000,-0.190,-101.190,-88.330,-1.660
09:39:35:638,-0.030,-0.030,-0.140,-100.650,-89.700,0.190
09:39:35:671,0.010,0.000,-0.120,-97.070,-90.440,1.490
